City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
167,djibouti,11.5,42.5,26.35,79,56,5.8,DJ,1684373869
168,coron,11.9986,120.2043,31.86,62,100,0.96,PH,1684373870
169,arraial do cabo,-22.9661,-42.0278,21.49,70,80,6.61,BR,1684373870
170,acapulco de juarez,16.8634,-99.8901,29.9,74,75,3.09,MX,1684373870
171,uturoa,-16.7333,-151.4333,27.83,76,9,4.42,PF,1684373870
172,asau,46.4333,26.4,13.49,89,100,1.42,RO,1684373870
173,muborak,39.2553,65.1528,18.06,47,2,2.55,UZ,1684373870
174,nogliki,51.8333,143.1667,5.12,86,56,3.77,RU,1684373870
175,weno,7.4515,151.8468,27.97,89,100,3.09,FM,1684373871
176,udachny,66.4167,112.4,1.36,59,100,5.16,RU,1684373871
177,wamba,8.9333,8.6,22.45,92,100,2.85,NG,1684373871
178,aasiaat,68.7098,-52.8699,-7.05,93,36,2.47,GL,1684373871
179,saipan,15.1355,145.701,29.8,100,20,6.69,MP,1684373432
180,skowhegan,44.7651,-69.7192,4.31,70,2,3.11,US,1684373871
181,hotan,37.0997,79.9269,27.05,9,8,1.89,CN,1684373872
182,ujae,8.9322,165.7642,27.74,80,97,7.18,MH,1684373872
183,hermanus,-34.4187,19.2345,11.56,71,100,3.91,ZA,1684373872
184,greymouth,-42.4667,171.2,11.76,92,100,3.13,NZ,1684373872
185,olinda,-8.0089,-34.8553,24.85,83,20,1.03,BR,1684373872
186,abeche,13.8292,20.8324,30.76,16,99,2.95,TD,1684373872
187,sur,22.5667,59.5289,31.11,55,0,4.67,OM,1684373662
188,hanceville,34.0607,-86.7675,21.2,93,100,2.22,US,1684373873
189,tanda,26.55,82.65,30.72,52,18,5.28,IN,1684373658
190,nacala,-14.5428,40.6728,20.97,95,45,2.2,MZ,1684373873
191,zira,30.9685,74.9911,29.85,34,94,4.21,IN,1684373873
192,singerei,47.6667,28.1667,13.69,73,100,1.42,MD,1684373873
193,tongren,27.7172,109.1853,27.8,66,91,1.35,CN,1684373873
194,piacabucu,-10.4056,-36.4344,24.92,84,68,1.8,BR,1684373874
195,revda,56.801,59.9303,8.62,51,2,3.39,RU,1684373643
196,vranje,42.5514,21.9003,11.38,94,99,1.82,RS,1684373874
197,aquidauana,-20.4711,-55.7872,17.74,62,100,2.6,BR,1684373868
198,lubao,14.9167,120.55,31.84,60,98,0.92,PH,1684373874
199,kirensk,57.7853,108.1119,9.22,65,100,3.18,RU,1684373874
200,tazacorte,28.629,-17.9293,19.54,81,0,7.72,ES,1684373875
201,union,40.6334,-74.2663,14.41,33,0,6.69,US,1684373814
202,el colomo,19.05,-104.25,26.26,71,0,2.53,MX,1684373875
203,hajin,34.6927,40.827,25.92,21,39,5.66,SY,1684373875
204,kathmandu,27.7167,85.3167,16.12,88,75,2.06,NP,1684373472
205,montepuez,-13.1256,38.9997,16.55,98,79,0.77,MZ,1684373875
206,taybad,34.74,60.7756,15.88,53,66,1.52,IR,1684373632
207,flying fish cove,-10.4217,105.6791,26.82,78,75,3.09,CX,1684373613
208,bonthe,7.5264,-12.505,27.03,84,100,2.78,SL,1684373582
209,farkhor,37.4922,69.4036,18.06,72,90,1.04,TJ,1684373698
210,richards bay,-28.783,32.0377,17.34,85,100,2.6,ZA,1684373876
211,mutsu,41.2894,141.2169,22.05,51,100,5.46,JP,1684373876
212,keflavik,64.0049,-22.5624,8.95,93,100,7.72,IS,1684373876
